"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
GNC06-067,https://projects.sare.org/sare_project/GNC06-067,"Efficacy of compost tea on Septoria leaf spot in field and greenhouse studies","10,000.00","North Central","Graduate Student",MO,2006,"University of Missouri"
FS17-303,https://projects.sare.org/sare_project/FS17-303,"Evaluation of Southern Stem Blight Control in Green Beans with Aerated Compost Tea in Drip System","6,501.00",Southern,Farmer/Rancher,GA,2017,Farmer
LNE09-280,https://projects.sare.org/sare_project/LNE09-280,"Marketing on-farm compost for sustainability and economic viability","43,258.00",Northeast,"Research and Education",VT,2009,"Northeast Recycling Council, Inc."
FNC20-1250,https://projects.sare.org/sare_project/FNC20-1250,"Cultivation of Organic Tea in Missouri, With Focus On Low-Cost Overwintering Methods","8,995.00","North Central",Farmer/Rancher,MO,2020,"Scott's Baked Goods"
FS23-353,https://projects.sare.org/sare_project/FS23-353,"Effects of Aerated Compost Tea on Swiss Chard, Kale & Lettuce Production in Virginia","12,447.00",Southern,Farmer/Rancher,VA,2023,"Permaculture Gardens LLC"
FW20-368,https://projects.sare.org/sare_project/FW20-368,"Mamaki – Fertilization and branch bending trials for continuous leaf flush and soil fertility","20,000.00",Western,Farmer/Rancher,HI,2020,"Mamaki Ola"
ONE17-304,https://projects.sare.org/sare_project/ONE17-304,"Efficacy and cost effectiveness of foliar nutrient applications to vegetable crops on a large Rhode Island farm","14,963.00",Northeast,"On Farm Research/Partnership",RI,2017,"University of Rhode Island"
ONE10-116,https://projects.sare.org/sare_project/ONE10-116,"Improving the profitability of onions grown on aging muck soil that has high pH","15,000.00",Northeast,"On Farm Research/Partnership",NY,2010,
LNE03-181,https://projects.sare.org/sare_project/LNE03-181,"Compost Tea for Disease Management in Horticultural Crops","147,956.00",Northeast,"Research and Education",PA,2003,
FNC05-577,https://projects.sare.org/sare_project/FNC05-577,"Kansas City Organic High Tunnel Research Cooperative","17,975.00","North Central",Farmer/Rancher,KS,2005,
GNE15-096,https://projects.sare.org/sare_project/GNE15-096,"Evaluating the effects of green manure and biofertilizers on pak choi yield, minerals, and phytonutrient contents","14,994.00",Northeast,"Graduate Student",MD,2015,UMES
ONC22-100,https://projects.sare.org/sare_project/ONC22-100,"Comparing Compost Tea and Compost Extract Impact on Microbiology","26,159.00","North Central","On Farm Research/Partnership",MN,2022,"Minnesota Soil Health Coalition"
FW21-386,https://projects.sare.org/sare_project/FW21-386,"Improving Soil Health with biochar and compost application in North Coast Vineyards","24,583.00",Western,Farmer/Rancher,CA,2021,"Treasury Wine EStates"
GNC03-019,https://projects.sare.org/sare_project/GNC03-019,"Laboratory, Field and Farm Based Assessment of Compost and Compost Teas for Vegetable Crop Health","10,000.00","North Central","Graduate Student",KS,2003,
FS24-366,https://projects.sare.org/sare_project/FS24-366,"A Comparison of the Microbiome Population Induced by Different Microbial Foods for the Production of a Safe and Effective Aerated Compost Tea","18,699.00",Southern,Farmer/Rancher,VA,2024,"Permaculture Gardens LLC"
LNC16-382,https://projects.sare.org/sare_project/LNC16-382,"Systems Approach to Food Waste Composting for Urban Agriculture","199,943.00","North Central","Research and Education",WI,2016,"University of Wisconsin"
FNC03-467,https://projects.sare.org/sare_project/FNC03-467,"Microbial Inoculant Treatments as an Alternative Spray for Disease Control that Reduces the Toxicity and Use of Copper in Organic and Sustainable Viticulture","17,102.00","North Central",Farmer/Rancher,WI,2003,
LS07-199,https://projects.sare.org/sare_project/LS07-199,"Integrating plant essential oils and kaolin for the sustainable management of thrips and tomato spotted wilt on tomato","185,000.00",Southern,"Research and Education",FL,2007,
FNC23-1396,https://projects.sare.org/sare_project/FNC23-1396,"Fashioning Amendments and Seeding Techniques to Rebuild Essential Genera of Endophytes and other soil Nutrient mobilizers (FAST REGEN)","28,813.00","North Central",Farmer/Rancher,MO,2023,"Sumner's Farm, LLC"
OS13-070,https://projects.sare.org/sare_project/OS13-070,"Clinical Mastitis Incidence in Compost Bedded Pack Barns as Compared to Freestall Barns","13,750.00",Southern,"On Farm Research/Partnership",KY,2013,
FNC23-1381,https://projects.sare.org/sare_project/FNC23-1381,"Sustainable Biofungicide for Organic Farms","14,956.00","North Central",Farmer/Rancher,WI,2023,Cannivera
FNE12-764,https://projects.sare.org/sare_project/FNE12-764,"Coring-injection method of applying compost to Christmas tree plantations","13,491.00",Northeast,Farmer/Rancher,VT,2012,
FW15-057,https://projects.sare.org/sare_project/FW15-057,"Supplemental Heating of High Tunnels by Energy-Producing Compost Piles","15,000.00",Western,Farmer/Rancher,CO,2015,"Sunspot Urban Farm"
LNE99-118,https://projects.sare.org/sare_project/LNE99-118,"Implementing a Biointensive Strategy for Caterpillar Control in Sweet Corn","68,265.00",Northeast,"Research and Education",MA,1999,
GNC02-007,https://projects.sare.org/sare_project/GNC02-007,"Effect of Alternative Fungicides on Alternaria solani Control and Productivity of Organic Tomatoes","7,500.00","North Central","Graduate Student",IA,2002,"Iowa State University"
LNE01-150,https://projects.sare.org/sare_project/LNE01-150,"Use of Composts in Grapes for Improving Vine Health - Soils","149,732.00",Northeast,"Research and Education",PA,2001,
EW11-029,https://projects.sare.org/sare_project/EW11-029,"Cal Poly Professional Development Compost Training and Establishment of the Cal Poly Compost Project","57,582.00",Western,"Professional Development Program",CA,2011,
LS99-099,https://projects.sare.org/sare_project/LS99-099,"Economic and Environmental effects of Compost use for Sustainable Vegetable Production","153,969.00",Southern,"Research and Education",VA,1999,
FS06-208,https://projects.sare.org/sare_project/FS06-208,"Evaluation of Compost Tea Application to Control Foliar Diseases in an Heirloom Tomato Crop","9,720.00",Southern,Farmer/Rancher,GA,2006,
FNC17-1069,https://projects.sare.org/sare_project/FNC17-1069,"Feast in the Forest: Mindful Eating in the Wild! Test Marketing Opportunities for the Rapidly Growing Niche Wellness Tourism Market","6,001.00","North Central",Farmer/Rancher,MO,2017,"Vintage Homesteader"
FNE22-001,https://projects.sare.org/sare_project/FNE22-001,"Comparison of Farm-produced and Commercial Microorganism Inoculants: Cost, Nutrients, and Biological Constituents","11,852.00",Northeast,Farmer/Rancher,NY,2022,"Unadilla Community Farm Education Center, Inc."
SW00-018,https://projects.sare.org/sare_project/SW00-018,"Utilization of Compost Made from Agricultural and Forestry Wastes for Improving the Economic and Ecological Sustainability of Agronomic Crop Production on Low Organic Matter Soils in the San Luis Valley of Colorado","137,916.00",Western,"Research and Education",CO,2000,
PDP20-001,https://projects.sare.org/sare_project/PDP20-001,"Fungal leaf spots: field, lab, and online tutorial for professionals in Guam and the Northern Mariana Islands","66,013.00",Western,"Professional Development Program",GU,2020,"University of Guam, University of Georgia"
ES01-056,https://projects.sare.org/sare_project/ES01-056,"Training in production and utilization of composted waste materials in warm, humid climates to improve soils for horticultural cropping systems","47,896.00",Southern,"Professional Development Program",FL,2001,
FW22-389,https://projects.sare.org/sare_project/FW22-389,"Investigating the Addition of Clay to Feedstocks for Increased Nutrient Density and Carbon Stabilization in Compost","24,745.00",Western,Farmer/Rancher,WA,2022,"Midnight's Farm"
YENC22-186,https://projects.sare.org/sare_project/YENC22-186,"Wholesale Market Experience with Herbal Teas","5,815.00","North Central","Youth Educator",MI,2022,"Allen Neighborhood Center"
FNC21-1262,https://projects.sare.org/sare_project/FNC21-1262,"Leveraging Biodiversity to Improve Profitablity on a Small-scale Vegetable Farm","17,425.00","North Central",Farmer/Rancher,IN,2021,"Wild Pansy Farm"
GS05-048,https://projects.sare.org/sare_project/GS05-048,"The Effects of Different Organic Apple Production Systems on Seasonal Variation of Soil Properties and Foliar Nutrient Concentration","10,000.00",Southern,"Graduate Student",AR,2005,
LNE02-161,https://projects.sare.org/sare_project/LNE02-161,"Nutrient Recycling in Urban Agriculture","92,230.00",Northeast,"Research and Education",MA,2002,
ONE22-422,https://projects.sare.org/sare_project/ONE22-422,"Closing the Mushroom Production Loop: Evaluating Soil Microbe Changes Following Field Application of Compost Inoculated with Spent Mushroom Substrate","24,712.00",Northeast,"On Farm Research/Partnership",MA,2022,NOFA/Mass
OW20-357,https://projects.sare.org/sare_project/OW20-357,"Microbial Ecology of Vermicompost and Vermi-teas","49,100.00",Western,"On Farm Research/Partnership",CO,2020,"Rocky Mountain Soil Stewardship"
LNC10-321,https://projects.sare.org/sare_project/LNC10-321,"Suppression of Soybean Diseases Through the Use of Cover Crops","174,823.00","North Central","Research and Education",IL,2010,
LNE22-449R,https://projects.sare.org/sare_project/LNE22-449R,"Foliar Nickel Fertilizer Nutrition to Enhance Cranberry Yield and Decrease Fungicide Use","199,987.00",Northeast,"Research Only",NJ,2022,"Rutgers, The State University of New Jersey"
FW22-407,https://projects.sare.org/sare_project/FW22-407,"Building a holistic, biologically rich, healthy vineyard in order to produce a wine with higher nutrient density and superb flavor","24,850.00",Western,Farmer/Rancher,ID,2022,"Bitner Vineyards"
LS09-222,https://projects.sare.org/sare_project/LS09-222,"Fish extracts for integrated disease, insect and fertility management in organic blueberries","119,000.00",Southern,"Research and Education",GA,2009,
SW05-091,https://projects.sare.org/sare_project/SW05-091,"Integrated Soil and Crop Management for Organic Potato Production","196,067.00",Western,"Research and Education",OR,2005,
FNC15-985,https://projects.sare.org/sare_project/FNC15-985,"Blueberry Field Renovation","7,496.00","North Central",Farmer/Rancher,MO,2015,"Persimmon Hill Farm"
FNC18-1124,https://projects.sare.org/sare_project/FNC18-1124,"Rebel Earth Farms' Value-Added, Direct Marketing Lakota Herbal Tea High-tunnel Production","7,500.00","North Central",Farmer/Rancher,SD,2018,"Rebel Earth Farms"
GW14-007,https://projects.sare.org/sare_project/GW14-007,"Evaluating the Potential of Oyster Mushroom Compost Waste for Plant-Parasitic Nematode Management","24,920.00",Western,"Graduate Student",HI,2014,"University of Hawaii"
FNC14-976,https://projects.sare.org/sare_project/FNC14-976,"Developing a Strategy For Utilizing Yard Waste Compost In A Corn And Soybean Rotation To Increase Soil Quality","15,736.00","North Central",Farmer/Rancher,MI,2014,
ONE07-073,https://projects.sare.org/sare_project/ONE07-073,"Evaluation of various recipes and ingredients for composting aquaculture fish waste to attain a stable, high-nitrogen end product","9,995.00",Northeast,"On Farm Research/Partnership",ME,2007,
FNC23-1393,https://projects.sare.org/sare_project/FNC23-1393,"Comparing strategies and evaluating the economics of alternative, non-conventional approaches to small scale pumpkin growing in the Midwest.","14,999.00","North Central",Farmer/Rancher,WI,2023,"Oconto Riviera"
GNC17-250,https://projects.sare.org/sare_project/GNC17-250,"Assessing microbial communities of aqueous compost extracts and their effects on mulch and crop residue degradation","11,993.00","North Central","Graduate Student",NE,2017,"University of Nebraska — Lincoln"
ONE04-027,https://projects.sare.org/sare_project/ONE04-027,"Integrating Compost Into an Intensive Plasticulture Production System for Vegetables","7,262.00",Northeast,"On Farm Research/Partnership",NY,2004,
ONE13-186,https://projects.sare.org/sare_project/ONE13-186,"Impact of using high-quality biological compost and compost extract on corn production, plant nutrient content, and soil quality","14,926.00",Northeast,"On Farm Research/Partnership",PA,2013,
GW24-013,https://projects.sare.org/sare_project/GW24-013,"Tea Plant Propagation for Nursery Production","29,764.00",Western,"Graduate Student",WA,2024,"Washington State University"
FNE16-855,https://projects.sare.org/sare_project/FNE16-855,"Testing an aerated static pile (ASP) compost system for efficiency of time and space","14,953.00",Northeast,Farmer/Rancher,VT,2016,"Tamarlane Farm"
FS23-349,https://projects.sare.org/sare_project/FS23-349,"Research for the Validation of Regenerative Citrus","14,843.00",Southern,Farmer/Rancher,GA,2023,"Squeeze Citrus LLC"
ONE16-278,https://projects.sare.org/sare_project/ONE16-278,"Organic weed management using chemically and microbially designed compost extracts","14,728.00",Northeast,"On Farm Research/Partnership",PA,2016,"Rodale Institute"
FNE21-997,https://projects.sare.org/sare_project/FNE21-997,"Using Plant Sap Analysis to Develop an Optimal Nutrient Profile for Lowbush Blueberries","14,985.00",Northeast,Farmer/Rancher,MA,2021,"The Benson Place"
FW11-030,https://projects.sare.org/sare_project/FW11-030,"Pepper (Capsicum annum) Cultivation, Conservation, and Soil Ecology in Low-Input and Certified Organic Agricultural Systems","19,585.00",Western,Farmer/Rancher,NM,2011,"Loretta Sandoval"
EW97-012,https://projects.sare.org/sare_project/EW97-012,"Composting Education and Information Access for Western Agriculture","145,275.00",Western,"Professional Development Program",ID,1997,
GNC15-210,https://projects.sare.org/sare_project/GNC15-210,"Disease Susceptibility in Cold- Climate Grape Cultivars of the North Central Region","9,836.00","North Central","Graduate Student",WI,2015,"University of Wisconsin - Madison"
ONE15-244,https://projects.sare.org/sare_project/ONE15-244,"Value-added products from urine: Enriched compost and stabilized liquid fertilizer","14,833.00",Northeast,"On Farm Research/Partnership",VT,2015,
FNE22-031,https://projects.sare.org/sare_project/FNE22-031,"Foliar Application of Kaolin Clay to Manage Pest and Diseases in Day Neutral Strawberry","22,247.00",Northeast,Farmer/Rancher,MD,2022,"Carniola Farms INC"
FW09-305,https://projects.sare.org/sare_project/FW09-305,"Composting Recommendations and Marketing Evaluation for Livestock Operations in Cold Semi-Arid Environments","49,315.00",Western,Farmer/Rancher,MT,2009,
LNC01-195.1,https://projects.sare.org/sare_project/LNC01-195.1,"Innovative Tart Cherry Orchard Systems: Design, Evaluation, and Demonstration","90,742.00","North Central","Research and Education",MI,2001,
FW23-416,https://projects.sare.org/sare_project/FW23-416,"Trialing On-Farm Windrow Vermicomposting as a Mechanism for Reducing Producer Dependence on Off-Farm Inputs","24,240.00",Western,Farmer/Rancher,CO,2023,"Watershed Ranch"
ANE95-026,https://projects.sare.org/sare_project/ANE95-026,"Integrating Microbial Insecticides and Oils into Sweet Corn IPM in Massachusetts",,Northeast,"Research and Education",MA,1995,
FW20-363,https://projects.sare.org/sare_project/FW20-363,"Compost application on rangeland in the semi-arid southwest for increased soil C storage and forage production","19,981.00",Western,Farmer/Rancher,NM,2020,"Polk’s Folly Farm"
FNE14-805,https://projects.sare.org/sare_project/FNE14-805,"Evaluating the efficacy of multiple foliar sprays for soil health, pasture quality, and cow productivity","14,913.00",Northeast,Farmer/Rancher,MA,2014,
ANC93-016,https://projects.sare.org/sare_project/ANC93-016,"Compost Extracts and the Biological Control of Foliar Plant Disease",,"North Central","Research and Education",WI,1993,
FS21-329,https://projects.sare.org/sare_project/FS21-329,"Enhancing Strawberry Production by Integrating Rabbit Production to Decrease Fertilizer Use, increase Sustainability and Profit","14,909.00",Southern,Farmer/Rancher,MS,2021,"SLEWZ LLC"
FS20-324,https://projects.sare.org/sare_project/FS20-324,"Building Soil and Plant Health with Compost and Compost Teas in Coffee Plantations","12,443.00",Southern,Farmer/Rancher,PR,2020,"Finca La Jiba"
FS03-169,https://projects.sare.org/sare_project/FS03-169,"Using Compost Tea to Enhance Growth of Pasture for Livestock Grazing","8,784.00",Southern,Farmer/Rancher,VA,2003,
FNC05-562,https://projects.sare.org/sare_project/FNC05-562,"Composting Corn for Heat Recovery","6,000.00","North Central",Farmer/Rancher,IA,2005,"Jellum Farm"
GS23-286,https://projects.sare.org/sare_project/GS23-286,"Investigating the Inoculation of Peach with an Entomopathogenic Fungus as a Potential Biocontrol Tactic Against Tree Boring Pests","15,408.00",Southern,"Graduate Student",GA,2023,"Department of Entomology, University of Georgia"
LNE01-154,https://projects.sare.org/sare_project/LNE01-154,"Farm Ecosystem - Management Factors Contributing to Pest Suppression on Organic - Conventional Farms-phase II","110,517.00",Northeast,"Research and Education",NY,2001,
GNE16-124,https://projects.sare.org/sare_project/GNE16-124,"The effects of compost and vegetation on stormwater treatment and soil nutrient distribution within bioretention cells","3,892.00",Northeast,"Graduate Student",VT,2016,"University of Vermont"
FS11-257,https://projects.sare.org/sare_project/FS11-257,"Is Fish Waste Compost worth the Mess and Effort?","9,848.00",Southern,Farmer/Rancher,SC,2011,
SW96-032,https://projects.sare.org/sare_project/SW96-032,"Identification of Management Practices and Cultivars for Organic Hard-Winter Wheat Production","93,911.00",Western,"Research and Education",UT,1996,
ENE03-080,https://projects.sare.org/sare_project/ENE03-080,"Farmer research education program","141,471.00",Northeast,"Professional Development Program",NH,2003,
GS17-178,https://projects.sare.org/sare_project/GS17-178,"Overcoming Microclimate Challenges to Improve Organic Spinach Production in Florida","16,495.00",Southern,"Graduate Student",FL,2017,"University of Florida"
OW23-379,https://projects.sare.org/sare_project/OW23-379,"Compost-derived microbial dispersal in rangelands","74,858.00",Western,"On Farm Research/Partnership",NM,2023,"University of New Mexico"
OS10-054,https://projects.sare.org/sare_project/OS10-054,"Evaluating compost and lime effects on soil organic matter, soil microbial communities and the control of Fusarium wilt in commercial tomato grown in Florida's sandy soils","14,955.00",Southern,"On Farm Research/Partnership",FL,2010,
ONE17-298,https://projects.sare.org/sare_project/ONE17-298,"Nitrogen dynamics and yield response to minimal supplemental heating in high tunnel winter production","14,997.00",Northeast,"On Farm Research/Partnership",NY,2017,"Cornell University"
LNE18-365,https://projects.sare.org/sare_project/LNE18-365,"Increasing Grower Adoption of Ecologically-based Pest Management Strategies to Improve Quality and Yield of Brassica Crops","198,754.00",Northeast,"Research and Education",MA,2018,"University of Massachusetts"
GW22-238,https://projects.sare.org/sare_project/GW22-238,"Significance of seedborne Stemphylium vesicarium in Stemphylium leaf spot of spinach","25,322.00",Western,"Graduate Student",WA,2022,"Washington State University, Northwestern Washington Research and Extension Center"
FNC20-1249,https://projects.sare.org/sare_project/FNC20-1249,"Evaluating raised-bed, no-till vegetable production systems for farm profitability, efficiency, and resilience","17,977.00","North Central",Farmer/Rancher,IA,2020,"Middle Way Farm, LLC"
FNE13-777,https://projects.sare.org/sare_project/FNE13-777,"Using compost heat for perennial production","13,940.00",Northeast,Farmer/Rancher,NH,2013,
ONE13-179,https://projects.sare.org/sare_project/ONE13-179,"Investigating forage radish and compost as a means of alleviating soil compaction in established bramble and blueberry fields","14,958.00",Northeast,"On Farm Research/Partnership",CT,2013,
GNC19-284,https://projects.sare.org/sare_project/GNC19-284,"Sustainable Weed Control: In-Row Weed Cultivation Strategies for Midwest Vegetable Growers","10,738.00","North Central","Graduate Student",MI,2019,"Michigan State University"
FNE14-808,https://projects.sare.org/sare_project/FNE14-808,"Study of ramial chip mulch and organic fertilizers on wild blueberries","14,706.00",Northeast,Farmer/Rancher,ME,2014,"Blue Hill Berry Co."
FNC03-486,https://projects.sare.org/sare_project/FNC03-486,"Deep Placement of Compost","5,948.00","North Central",Farmer/Rancher,IA,2003,"Jellum Farm"
FNE23-068,https://projects.sare.org/sare_project/FNE23-068,"Clean, Consistent Carrot Plantings: Seeding into Compost Strips for Reliable Germination and In-Row Weed Control in Organic Carrot Production","19,426.00",Northeast,Farmer/Rancher,NY,2023,"Hearty Roots Community Farm"
GW13-011,https://projects.sare.org/sare_project/GW13-011,"Compost-Induced Disease Suppressive Soils for Control of Verticillium Wilt of Strawberry","24,992.00",Western,"Graduate Student",CA,2013,"UC Davis"
GNE13-066,https://projects.sare.org/sare_project/GNE13-066,"Management practices for production of local malting barley in Northeast","13,967.00",Northeast,"Graduate Student",MA,2013,"University of Massachusetts Amherst"
WRGR22-007,https://projects.sare.org/sare_project/WRGR22-007,"Extending compost-induced disease suppressive soils to small-scale Latinx farmers","82,713.00",Western,"Local Ed &amp; Demo (formerly RGR)",CA,2022,"Resource Conservation District of Monterey County"
CNE13-104,https://projects.sare.org/sare_project/CNE13-104,"Brooklyn Navy Yard Compost Program Pilot Project","14,901.00",Northeast,"Sustainable Community Innovation",NY,2013,"Brooklyn Grange"
LNE99-123,https://projects.sare.org/sare_project/LNE99-123,"Systems of Transition from Conventional to Organic Agricultural Production","212,247.00",Northeast,"Research and Education",WV,1999,
FNE02-443,https://projects.sare.org/sare_project/FNE02-443,"Production of Nutrient Enhanced Compost and Compost Tea Using Vermiculture Technology","7,905.00",Northeast,Farmer/Rancher,MA,2002,
ONE21-395,https://projects.sare.org/sare_project/ONE21-395,"Upcycling Local Waste Streams to Boost Urban Farm Productivity","26,883.00",Northeast,"On Farm Research/Partnership",MD,2021,"Ridge to Reefs, Inc."
LS05-176,https://projects.sare.org/sare_project/LS05-176,"Best management practices for organic orchard nutrition","200,000.00",Southern,"Research and Education",AR,2005,
FNE21-979,https://projects.sare.org/sare_project/FNE21-979,"Demonstration Pilot for Composting of Manure, Wood Chips and Leaves on a Certified-Organic Produce Farm via Aerated Static Pile Composting","11,133.00",Northeast,Farmer/Rancher,NJ,2021,"Honey Brook Organic Farm"
GNC15-204,https://projects.sare.org/sare_project/GNC15-204,"Identification of Native Minnesota/Midwestern U.S. Hop (Humulus lupulus L.) Communities as a Resource for Novel Disease Resistance Traits","9,808.00","North Central","Graduate Student",MN,2015,"University of Minnesota"
OW20-358,https://projects.sare.org/sare_project/OW20-358,"Compost for Carbon Sequestration on Irrigated Pasture","49,746.00",Western,"On Farm Research/Partnership",CO,2020,"Colorado State University Extension"
FNE12-739,https://projects.sare.org/sare_project/FNE12-739,"Testing the Compost-Heated Greenhouse in an Urban Setting","5,042.00",Northeast,Farmer/Rancher,NY,2012,
FNC23-1374,https://projects.sare.org/sare_project/FNC23-1374,"Utilizing Microscopic Testing Protocols to analyze our soil and compost to make the correct actions to improve our soil quality.","30,000.00","North Central",Farmer/Rancher,IN,2023,"Baby Greens Family Farm"
FS14-284,https://projects.sare.org/sare_project/FS14-284,"Is freshwater fish compost as effective as saltwater fish compost on vegetable production?","10,000.00",Southern,Farmer/Rancher,SC,2014,
LNC05-258,https://projects.sare.org/sare_project/LNC05-258,"Soil Fertility Strategies on Organic Vegetable Farms","72,056.00","North Central","Research and Education",WI,2005,
LNE17-358,https://projects.sare.org/sare_project/LNE17-358,"Developing Best Management Practices for pulse and oilseed crops in the Northeast","105,527.00",Northeast,"Research and Education",ME,2017,"Maine Potato Board"
GW19-202,https://projects.sare.org/sare_project/GW19-202,"Climate mitigation through soil carbon sequestration: increasing soil resilience and plant productivity on rangelands through compost application","24,766.41",Western,"Graduate Student",CO,2019,"Western State Colorado University (doing business as Western Colorado University)"
LNC91-031,https://projects.sare.org/sare_project/LNC91-031,"Compost Extracts and the Biological Control of Foliar Plant Disease","70,000.00","North Central","Research and Education",WI,1991,
GS09-080,https://projects.sare.org/sare_project/GS09-080,"Emerging Local Food Systems – The Role of Locally Developed Innovation in Small-scale Sustainable Farming in Northeast Georgia","8,492.00",Southern,"Graduate Student",GA,2009,"University of Georgia"
GS04-031,https://projects.sare.org/sare_project/GS04-031,"Effects of Organic Amendments on Soil Humic Substances Content and Physiological Properties of Water-Stressed Zea mays and Glycine max","9,793.00",Southern,"Graduate Student",VA,2004,"Virginia Tech"
LNC07-281,https://projects.sare.org/sare_project/LNC07-281,"Developing pest management guidelines for organic production of highbush blueberries in the North Central Region","149,991.00","North Central","Research and Education",MI,2007,
LNE19-384R,https://projects.sare.org/sare_project/LNE19-384R,"Impact of Biochar on Moisture and Nutrient Retention in Long Island Nurseries","83,949.00",Northeast,"Research Only",NY,2019,"Cornell Cooperative Extension of Suffolk County"
ENE07-104,https://projects.sare.org/sare_project/ENE07-104,"Whole farm nutrient planning for organic farms","96,756.00",Northeast,"Professional Development Program",PA,2007,
FNC22-1352,https://projects.sare.org/sare_project/FNC22-1352,"Establish a system of composting to produce local sustainable agricultural inputs","14,725.00","North Central",Farmer/Rancher,MN,2022,"Sun Sprout Farm"
OW11-315,https://projects.sare.org/sare_project/OW11-315,"Composted Horse Manure and Stall Bedding Pilot Project","39,410.00",Western,"On Farm Research/Partnership",WA,2011,"Snohomish Conservation District"
FNE19-917,https://projects.sare.org/sare_project/FNE19-917,"Ecological Urban Farming: Adaptation of No-Till, Compost Mulching and Perennial Hedgerows for the NYC Ecosystem","14,987.00",Northeast,Farmer/Rancher,NY,2019,"Project EATS Help Sec Farm"
FNE14-803,https://projects.sare.org/sare_project/FNE14-803,"Effectiveness of Aerated Static Pile to Windrow Composting on Small-Scale Farms","6,237.00",Northeast,Farmer/Rancher,MD,2014,
ONE10-123,https://projects.sare.org/sare_project/ONE10-123,"Compost for Management of Plant Pathogens and Weed Seeds","15,000.00",Northeast,"On Farm Research/Partnership",VT,2010,
FNC17-1077,https://projects.sare.org/sare_project/FNC17-1077,"Efficacy of Horse and Donkey Manure Compost as an Economical Alternative to Commercial Biofungicides for Control of Phytophthora spp. Root Rot in Lavender Plants","6,888.00","North Central",Farmer/Rancher,OH,2017,"Greentan Farm"
LNE02-169,https://projects.sare.org/sare_project/LNE02-169,"Northeast Organic Farming Association Organic Practices Handbook Series","33,014.00",Northeast,"Research and Education",MA,2002,
CNE12-092,https://projects.sare.org/sare_project/CNE12-092,"Sustainable Urban Farm Composting","14,445.00",Northeast,"Sustainable Community Innovation",NY,2012,
OW19-349,https://projects.sare.org/sare_project/OW19-349,"Amador Rangeland Soil Health Research and Education Project","49,139.00",Western,"On Farm Research/Partnership",CA,2019,"Amador Resource Conservation District, University of California Regents, UC Cooperative Extension "
FNE02-446,https://projects.sare.org/sare_project/FNE02-446,"An On-Farm Comparison of Fertility Treatments on One Sweet Corn Variety Planted - Harvested at Two Different Times During the Season","3,813.00",Northeast,Farmer/Rancher,PA,2002,
FNE14-792,https://projects.sare.org/sare_project/FNE14-792,"A comparison of traditional nitrogen and nutrient-dense fertilization regimes in organic potato production","12,058.00",Northeast,Farmer/Rancher,MA,2014,
GS14-136,https://projects.sare.org/sare_project/GS14-136,"Sustainable management of high tunnel organic vegetable production with short-season winter cover crops","10,951.00",Southern,"Graduate Student",AR,2014,"University of Arkansas"
