Crop_Name,Primary_Category,Family,Scientific_Name,Color_Hex,Variety_Default,Harvest_Unit,Price_Wholesale,Price_Retail,Yield_Lbs_Per_Ft,Calc_Method,Rec_Direct,Rec_Transplant,Rows_Per_Bed,In_Row_Spacing_In,Tray_Cell_Count,Seeder_Config,Safety_Buffer_%,DTM_Spring,DTM_Summer,DTM_Fall,DTM_Average,Nursery_Days,Days_To_Pot_Up,Days_To_Harden_Off,Germination_Days,Germ_Temp_F,Cold_Stratify?,Germination_Instructions,Hardiness_Zone,Rotation_Group,Common_Pests,Common_Diseases,Storage_Reqs,Temp_Day_Optimum,Temp_Night_Optimum,Soil_Temp_Optimum,Light_Req,Water_Req,pH_Min,pH_Max,Grower_Notes,Days_To_Maturity,Direct_or_Transplant,Frost_Hardy?,Light_Hours_Req,Water_Req_Gal_Week,Notes,Expected_First_Harvest,Expected_Last_Harvest,Harvest_Window_Days
Amaranthus,Floral,Amaranthaceae,Amaranthus spp.,#B01075,Velvet Curtains,Stems,1,2.5,3,Linear Ft,No,Yes,3,12,128,,20,70,65,70,68,28,0,7,10,80,No,Warmth req,3-10,Floral,Aphids,Mildew,Fresh,70-85F,60-70F,80,Full sun,Med,6,7,,68,Transplant,No,12,0.5,,,,
Ammi,Floral,Apiaceae,Ammi majus,#FFD700,Dara,Stems,1,2.5,4,Linear Ft,No,Yes,3,12,128,,20,95,65,95,80,42,0,7,14,70,No,Keep moist,3-9,Floral,Aphids,Blight,Fresh,60-75F,50-60F,65,Full sun,Med,6,7,,80,Transplant,No,12,0.5,,,,
Ammi,Floral,Apiaceae,Ammi majus,#F0E68C,Green Mist,Stems,1,2.5,4,Linear Ft,No,Yes,3,12,128,,20,95,65,95,80,42,0,7,14,70,No,Keep moist,3-9,Floral,Aphids,Blight,Fresh,60-75F,50-60F,65,Full sun,Med,6,7,,80,Transplant,No,12,0.5,,,,
Ammobium,Floral,Asteraceae,Ammobium alatum,#F5F5F5,Grandiflorum,Stems,1,2.5,3,Linear Ft,No,Yes,3,9,128,,20,90,85,90,88,35,0,7,10,70,No,Winged Everlasting,3-10,Floral,Aphids,None,Fresh,70-80F,60-70F,75,Full sun,Med,6,7,,88,Transplant,Yes,12,0.5,,,,
Asters,Floral,Asteraceae,Callistephus chinensis,#0000FF,Azumi XL Blue,Stems,1,2.5,4,Linear Ft,No,Yes,3,9,128,,20,120,110,120,117,42,0,7,10,70,No,Fusarium resistant,3-10,Floral,Beetles,Wilt,Fresh,65-75F,55-65F,70,Full sun,Med,6,7,,117,Transplant,No,12,0.5,,,,
Asters,Floral,Asteraceae,Callistephus chinensis,#F5F5F5,Azumi XL White,Stems,1,2.5,4,Linear Ft,No,Yes,3,9,128,,20,120,110,120,117,42,0,7,10,70,No,Fusarium resistant,3-10,Floral,Beetles,Wilt,Fresh,65-75F,55-65F,70,Full sun,Med,6,7,,117,Transplant,No,12,0.5,,,,
Asters,Floral,Asteraceae,Callistephus chinensis,#FAD7A0,Tower Chamois,Stems,1,2.5,4,Linear Ft,No,Yes,3,9,128,,20,120,110,120,117,42,0,7,10,70,No,Peony-flowered,3-10,Floral,Beetles,Wilt,Fresh,65-75F,55-65F,70,Full sun,Med,6,7,,117,Transplant,No,12,0.5,,,,
Bupleurum,Floral,Apiaceae,Bupleurum rotundifolium,#FFD700,Griffithii,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,6,128,,20,80,80,80,80,35,0,7,14,65,No,Cool germ,3-10,Floral,Aphids,Blight,Fresh,60-70F,50-60F,65,Full sun,Med,6,7,,80,Transplant,No,12,0.5,,,,
Calendula,Floral,Asteraceae,Calendula officinalis,#9370DB,Flashback Mix,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,9,128,,20,80,75,80,78,35,0,7,10,70,No,Bicolor petals,3-10,Floral,Aphids,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6,7,,78,Transplant,No,12,0.5,,,,
Calendula,Floral,Asteraceae,Calendula officinalis,#8A2BE2,Ivory Princess,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,9,128,,20,80,75,80,78,35,0,7,10,70,No,Pale cream,3-10,Floral,Aphids,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6,7,,78,Transplant,No,12,0.5,,,,
Calendula,Floral,Asteraceae,Calendula officinalis,#9932CC,Zeolights,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,9,128,,20,80,75,80,78,35,0,7,10,70,No,Unique bronze,3-10,Floral,Aphids,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6,7,,78,Transplant,No,12,0.5,,,,
Celosia,Floral,Amaranthaceae,Celosia argentea,#C71585,Pampas Plume,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,9,128,,20,95,90,95,93,35,0,7,10,80,No,Warmth req,4-10,Floral,Aphids,Mildew,Fresh,75-85F,65-75F,80,Full sun,Med,6,7,,93,Transplant,No,12,0.5,,,,
Celosia,Floral,Amaranthaceae,Celosia argentea,#B01075,Ruby Parfait,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,9,128,,20,95,90,95,93,35,0,7,10,80,No,Plume type,4-10,Floral,Aphids,Mildew,Fresh,75-85F,65-75F,80,Full sun,Med,6,7,,93,Transplant,No,12,0.5,,,,
Celosia,Floral,Amaranthaceae,Celosia argentea,#DA70D6,Sunday Gold,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,9,128,,20,95,90,95,93,35,0,7,10,80,No,Cockscomb type,4-10,Floral,Aphids,Mildew,Fresh,75-85F,65-75F,80,Full sun,Med,6,7,,93,Transplant,No,12,0.5,,,,
Celosia,Floral,Amaranthaceae,Celosia argentea,#800000,Cramer's Burgundy,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,9,128,,20,95,90,95,93,35,0,7,10,80,No,Cockscomb type,4-10,Floral,Aphids,Mildew,Fresh,75-85F,65-75F,80,Full sun,Med,6,7,,93,Transplant,No,12,0.5,,,,
Celosia,Floral,Amaranthaceae,Celosia argentea,#006400,Hi-Z,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,9,128,,20,95,90,95,93,35,0,7,10,80,No,Spiky green/purple,4-10,Floral,Aphids,Mildew,Fresh,75-85F,65-75F,80,Full sun,Med,6,7,,93,Transplant,No,12,0.5,,,,
Centaurea,Floral,Asteraceae,Centaurea cyanus,#8A2BE2,Black Boy,Stems,0.85,2.12,4,Linear Ft,Yes,No,3,9,Direct,Jang,20,75,65,75,72,0,0,7,10,65,No,Cover seeds,3-10,Floral,Aphids,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6,7.5,,72,Direct,Yes,12,0.5,,,,
Centaurea,Floral,Asteraceae,Centaurea cyanus,#0000FF,Blue Boy,Stems,0.85,2.12,4,Linear Ft,Yes,No,3,9,Direct,Jang,20,75,65,75,72,0,0,7,10,65,No,Cover seeds,3-10,Floral,Aphids,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6,7.5,,72,Direct,Yes,12,0.5,,,,
Centaurea,Floral,Asteraceae,Centaurea cyanus,#FFC0CB,Pinkie,Stems,0.85,2.12,4,Linear Ft,Yes,No,3,9,Direct,Jang,20,75,65,75,72,0,0,7,10,65,No,Cover seeds,3-10,Floral,Aphids,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6,7.5,,72,Direct,Yes,12,0.5,,,,
Cerinthe,Floral,Boraginaceae,Cerinthe major,#0000FF,Blue Shrimp,Stems,1.25,3.12,3,Linear Ft,No,Yes,3,12,72,,20,70,65,70,68,28,0,7,14,65,No,Soak seeds,7-10,Floral,Aphids,None,Fresh,60-75F,50-60F,65,Full sun,Med,6,7,,68,Transplant,No,12,0.5,,,,
Chinese Lantern,Floral,Solanaceae,Physalis alkekengi,#DC143C,Gigantea,Stems,1.5,3.75,2,Linear Ft,No,Yes,3,12,72,,20,100,100,100,100,42,0,7,21,70,No,Invasive pot,3-9,Floral,Beetles,None,Fresh,65-75F,55-65F,70,Full sun,Med,6,7,,100,Transplant,Yes,12,0.5,,,,
Clarkia,Floral,Onagraceae,Clarkia amoena,#FF1493,Mountain Rose,Stems,1,2.5,4,Linear Ft,No,Yes,3,9,128,,20,80,75,80,78,28,0,7,10,70,No,Light req,3-10,Floral,Aphids,None,Fresh,60-75F,50-60F,65,Full sun,Med,6,7,,78,Transplant,No,12,0.5,,,,
Cosmos,Floral,Asteraceae,Cosmos bipinnatus,#9370DB,Cupcakes White,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,12,72,,20,85,75,85,82,21,0,7,7,75,No,Unique shape,3-10,Floral,Aphids,None,Fresh,70-85F,60-70F,75,Full sun,Med,6,7,,82,Transplant,No,12,0.5,,,,
Cosmos,Floral,Asteraceae,Cosmos bipinnatus,#8A2BE2,Double Click Bicolor,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,12,72,,20,85,75,85,82,21,0,7,7,75,No,Fringed petals,3-10,Floral,Aphids,None,Fresh,70-85F,60-70F,75,Full sun,Med,6,7,,82,Transplant,No,12,0.5,,,,
Cosmos,Floral,Asteraceae,Cosmos bipinnatus,#9932CC,Double Click Cranberry,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,12,72,,20,85,75,85,82,21,0,7,7,75,No,Deep red,3-10,Floral,Aphids,None,Fresh,70-85F,60-70F,75,Full sun,Med,6,7,,82,Transplant,No,12,0.5,,,,
Cosmos,Floral,Asteraceae,Cosmos bipinnatus,#DA70D6,Sensation Mix,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,12,72,,20,85,75,85,82,21,0,7,7,75,No,Standard cut,3-10,Floral,Aphids,None,Fresh,70-85F,60-70F,75,Full sun,Med,6,7,,82,Transplant,No,12,0.5,,,,
Cosmos,Floral,Asteraceae,Cosmos bipinnatus,#F5F5F5,Afternoon White,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,12,72,,20,85,75,85,82,21,0,7,7,75,No,Clean white,3-10,Floral,Aphids,None,Fresh,70-85F,60-70F,75,Full sun,Med,6,7,,82,Transplant,No,12,0.5,,,,
Cosmos,Floral,Asteraceae,Cosmos bipinnatus,#FAD7A0,Apricot Lemonade,Stems,1,2.5,0.5,Linear Ft,No,Yes,3,12,72,,20,85,75,85,82,21,0,7,7,75,No,Pastel terracotta,3-10,Floral,Aphids,None,Fresh,70-85F,60-70F,75,Full sun,Med,6,7,,82,Transplant,No,12,0.5,,,,
Craspedia,Floral,Asteraceae,Craspedia globosa,#8A2BE2,Drumstick,Stems,1.25,3.12,3,Linear Ft,No,Yes,3,9,128,,20,110,100,110,107,56,0,7,14,75,No,Surface sow,8-11,Floral,Thrips,None,Fresh,70-80F,60-70F,75,Full sun,Med,6.5,7.5,,107,Transplant,No,12,0.5,,,,
Cynoglossum,Floral,Boraginaceae,Cynoglossum amabile,#0000FF,Firmament,Stems,0.85,2.12,4,Linear Ft,Yes,No,3,9,Direct,Jang,20,80,75,80,78,0,0,7,10,70,No,Forget-me-not,3-10,Floral,Aphids,None,Fresh,60-75F,50-60F,70,Full sun,Med,6,7,,78,Direct,Yes,12,0.5,,,,
Dahlia,Floral,Asteraceae,Dahlia variabilis,#DDA0DD,Ball Mix,Stems,2,5,2,Linear Ft,No,Yes,3,12,Tuber,,20,100,90,100,97,0,0,7,14,70,No,Support req,7-11,Floral,Beetles,Mildew,Fresh,75-85F,65-75F,75,Full sun,Heavy,6.5,7.5,,97,Transplant,No,12,1,,,,
Dahlia,Floral,Asteraceae,Dahlia variabilis,#F5F5F5,Cafe au Lait,Stems,2,5,2,Linear Ft,No,Yes,3,12,Tuber,,20,100,90,100,97,0,0,7,14,70,No,Premium dinnerplate,7-11,Floral,Beetles,Mildew,Fresh,75-85F,65-75F,75,Full sun,Heavy,6.5,7.5,,97,Transplant,No,12,1,,,,
Dahlia,Floral,Asteraceae,Dahlia variabilis,#CD7F32,Cornel Bronze,Stems,2,5,2,Linear Ft,No,Yes,3,12,Tuber,,20,100,90,100,97,0,0,7,14,70,No,Autumn tones,7-11,Floral,Beetles,Mildew,Fresh,75-85F,65-75F,75,Full sun,Heavy,6.5,7.5,,97,Transplant,No,12,1,,,,
Delphiniums,Floral,Ranunculaceae,Delphinium elatum,#00008B,Magic Fountains,Stems,1.25,3.12,2,Linear Ft,No,Yes,3,18,128,,20,110,100,110,107,70,0,7,21,65,Yes,Compact spikes,3-7,Floral,Aphids,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6.5,7.5,,107,Transplant,Yes,12,0.6,,,,
Delphiniums,Floral,Ranunculaceae,Delphinium elatum,#1F3A93,Pacific Giant Mix,Stems,1.25,3.12,2,Linear Ft,No,Yes,3,18,128,,20,120,110,120,117,70,0,7,21,65,Yes,Tall exhibition,3-7,Floral,Aphids,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6.5,7.5,,117,Transplant,Yes,12,0.6,,,,
Dianthus,Floral,Caryophyllaceae,Dianthus barbatus,#F0F8FF,Amazon Neon,Stems,1,2.5,6,Linear Ft,No,Yes,3,6,128,,20,100,90,100,97,42,0,7,10,70,No,Vibrant colors,3-9,Floral,Aphids,Rust,Fresh,60-70F,50-60F,65,Full sun,Med,6,7.5,,97,Transplant,Yes,12,0.5,,,,
Dianthus,Floral,Caryophyllaceae,Dianthus barbatus,#D6EAF8,Sweet Mix,Stems,1,2.5,6,Linear Ft,No,Yes,3,6,128,,20,100,90,100,97,42,0,7,10,70,No,Cut flower focus,3-9,Floral,Aphids,Rust,Fresh,60-70F,50-60F,65,Full sun,Med,6,7.5,,97,Transplant,Yes,12,0.5,,,,
Dianthus,Floral,Caryophyllaceae,Dianthus barbatus,#FF1493,Amazon Rose Magic,Stems,1,2.5,6,Linear Ft,No,Yes,3,6,128,,20,100,90,100,97,42,0,7,10,70,No,Bicolor pinks,3-9,Floral,Aphids,Rust,Fresh,60-70F,50-60F,65,Full sun,Med,6,7.5,,97,Transplant,Yes,12,0.5,,,,
Dianthus,Floral,Caryophyllaceae,Dianthus barbatus,#9370DB,Sweet William Mix,Stems,1,2.5,6,Linear Ft,No,Yes,3,6,128,,20,100,90,100,97,42,0,7,10,70,No,Traditional cut,3-9,Floral,Aphids,Rust,Fresh,60-70F,50-60F,65,Full sun,Med,6,7.5,,97,Transplant,Yes,12,0.5,,,,
Didiscus,Floral,Apiaceae,Trachymene coerulea,#F0E68C,Blue Lace,Stems,1,2.5,4,Linear Ft,No,Yes,3,9,128,,20,95,85,95,92,42,0,7,14,70,No,Delicate filler,4-10,Floral,Aphids,None,Fresh,65-75F,55-65F,70,Full sun,Med,6,7,,92,Transplant,No,12,0.5,,,,
Digitalis,Floral,Plantaginaceae,Digitalis purpurea,#FFD700,Camelot Mix,Stems,1.25,3.12,1,Linear Ft,No,Yes,3,12,72,,20,365,365,365,365,70,0,7,21,65,Yes,First year bloom,4-9,Floral,Aphids,None,Fresh,60-70F,50-60F,65,Sun/Part,Med,6,7,,365,Transplant,Yes,12,0.6,,,,
Digitalis,Floral,Plantaginaceae,Digitalis purpurea,#FAD7A0,Dalmatian Peach,Stems,1.25,3.12,1,Linear Ft,No,Yes,3,12,72,,20,110,100,110,107,70,0,7,21,65,Yes,Early flowering,4-9,Floral,Aphids,None,Fresh,60-70F,50-60F,65,Sun/Part,Med,6,7,,107,Transplant,Yes,12,0.6,,,,
Echinacea,Floral,Asteraceae,Echinacea purpurea,#9370DB,Cheyenne Spirit,Stems,1.25,3.12,1,Linear Ft,No,Yes,3,18,128,,20,110,100,110,107,70,0,7,21,70,Yes,Multi-color mix,3-8,Floral,Aphids,None,Fresh,70-80F,60-70F,75,Full sun,Med,6,7.5,,107,Transplant,Yes,12,0.5,,,,
Echinacea,Floral,Asteraceae,Echinacea purpurea,#8A2BE2,Purple Coneflower,Stems,1.25,3.12,1,Linear Ft,No,Yes,3,18,128,,20,110,100,110,107,70,0,7,21,70,Yes,Standard medicinal,3-8,Floral,Aphids,None,Fresh,70-80F,60-70F,75,Full sun,Med,6,7.5,,107,Transplant,Yes,12,0.5,,,,
Echinops,Floral,Asteraceae,Echinops ritro,#0000FF,Ritro,Stems,1.25,3.12,1,Linear Ft,No,Yes,3,24,72,,20,120,110,120,117,70,0,7,21,70,No,Globe thistle,3-8,Floral,None,None,Fresh,65-75F,55-65F,70,Full sun,Med,6,7,,117,Transplant,Yes,12,0.5,,,,
Eryngium,Floral,Apiaceae,Eryngium planum,#F0E68C,Blue Glitter,Stems,1.25,3.12,1.5,Linear Ft,No,Yes,3,12,128,,20,120,110,120,117,70,0,7,21,70,Yes,Sea Holly,4-9,Floral,None,None,Fresh,65-75F,55-65F,70,Full sun,Med,6,7,,117,Transplant,Yes,12,0.4,,,,
Eucalyptus,Floral,Myrtaceae,Eucalyptus spp.,#DDA0DD,Silver Drop,Stems,1.5,3.75,1,Linear Ft,No,Yes,3,12,72,,20,150,150,150,150,84,14,7,21,75,No,Slow start,8-11,Floral,Thrips,None,Fresh,70-80F,60-70F,75,Full sun,Med,6,7,,150,Transplant,No,12,0.5,,,,
Feverfew,Floral,Asteraceae,Tanacetum parthenium,#8A2BE2,Magic Single,Stems,1,2.5,4,Linear Ft,No,Yes,3,9,128,,20,100,90,100,97,42,0,7,14,70,No,Light req,4-9,Floral,Aphids,Mildew,Fresh,60-75F,50-60F,65,Full sun,Med,6,7,,97,Transplant,Yes,12,0.5,,,,
Gomphrena,Floral,Amaranthaceae,Gomphrena globosa,#DB1A95,QIS Mix,Stems,0.85,2.12,3,Linear Ft,No,Yes,3,9,128,,20,90,80,90,87,35,0,7,14,75,No,Everlasting,3-10,Floral,Thrips,None,Fresh,75-85F,65-75F,80,Full sun,Med,6,7,,87,Transplant,No,12,0.5,,,,
Gomphrena,Floral,Amaranthaceae,Gomphrena globosa,#DA70D6,Sunset,Stems,0.85,2.12,3,Linear Ft,No,Yes,3,9,128,,20,90,80,90,87,35,0,7,14,75,No,Bicolor bloom,3-10,Floral,Thrips,None,Fresh,75-85F,65-75F,80,Full sun,Med,6,7,,87,Transplant,No,12,0.5,,,,
Larkspur,Floral,Ranunculaceae,Consolida ajacis,#00008B,Giant Imperial,Stems,1,2.5,4,Linear Ft,Yes,No,3,6,Direct,Jang,20,90,80,90,87,0,0,7,21,55,Yes,Spring focus,3-7,Floral,Aphids,Mildew,Fresh,55-65F,45-55F,55,Full sun,Med,6,7,,87,Direct,Yes,12,0.5,,,,
Larkspur,Floral,Ranunculaceae,Consolida ajacis,#1F3A93,QIS Mix,Stems,1,2.5,4,Linear Ft,Yes,No,3,6,Direct,Jang,20,90,80,90,87,0,0,7,21,55,Yes,Commercial grade,3-7,Floral,Aphids,Mildew,Fresh,55-65F,45-55F,55,Full sun,Med,6,7,,87,Direct,Yes,12,0.5,,,,
Lisianthus,Floral,Gentianaceae,Eustoma russellianum,#DDA0DD,ABC Lavender,Stems,2,5,0.5,Linear Ft,No,Yes,3,6,128,,20,130,120,130,127,84,0,7,14,75,No,Professional cut,8-10,Floral,Thrips,Wilt,Fresh,70-80F,60-70F,75,Full sun,Med,6.5,7,,127,Transplant,No,12,0.5,,,,
Lisianthus,Floral,Gentianaceae,Eustoma russellianum,#DA70D6,Corelli White,Stems,2,5,0.5,Linear Ft,No,Yes,3,6,128,,20,130,120,130,127,84,0,7,14,75,No,Ruffled petals,8-10,Floral,Thrips,Wilt,Fresh,70-80F,60-70F,75,Full sun,Med,6.5,7,,127,Transplant,No,12,0.5,,,,
Lisianthus,Floral,Gentianaceae,Eustoma russellianum,#DDA0DD,Voyage Apricot,Stems,2,5,0.5,TBD,No,Yes,4,6,128,,20,120,120,120,120,84,0,7,14,75,No,Surface sow,8-10,Other,Thrips,Fusarium,Fresh,70-80F,60-70F,75,Full sun,Medium,6.5,7,,120,Transplant,No,6,0.5,,,,
Lisianthus,Floral,Gentianaceae,Eustoma russellianum,#DDA0DD,ABC Blue Rim,Stems,2,5,0.5,Linear Ft,No,Yes,3,6,128,,20,130,120,130,127,84,0,7,14,75,No,Picotee edge,8-10,Floral,Thrips,Wilt,Fresh,70-80F,60-70F,75,Full sun,Med,6.5,7,,127,Transplant,No,12,0.5,,,,
Lisianthus,Floral,Gentianaceae,Eustoma russellianum,#8B4513,Rosanne Brown,Stems,2,5,0.5,Linear Ft,No,Yes,3,6,128,,20,130,120,130,127,84,0,7,14,75,No,Trendy brown hue,8-10,Floral,Thrips,Wilt,Fresh,70-80F,60-70F,75,Full sun,Med,6.5,7,,127,Transplant,No,12,0.5,,,,
Marigolds,Floral,Asteraceae,Tagetes erecta,#8A2BE2,Giant Orange,Stems,0.85,2.12,4,Linear Ft,No,Yes,3,12,72,,20,85,75,85,82,28,0,7,7,75,No,Pinch early,3-10,Floral,Beetles,None,Fresh,75-85F,60-75F,75,Full sun,Med,6,7.5,,82,Transplant,No,12,0.5,,,,
Monarda,Floral,Lamiaceae,Monarda spp.,#6A5ACD,Lemon,Stems,1.25,3.12,2,Linear Ft,No,Yes,3,12,72,,20,110,100,110,107,42,0,7,14,70,No,Citrus scent,3-9,Floral,Aphids,Mildew,Fresh,65-75F,55-65F,70,Full sun,Med,6,7.5,,107,Transplant,Yes,12,0.5,,,,
Orlaya,Floral,Apiaceae,Orlaya grandiflora,#F0E68C,White Finch,Stems,1,2.5,4,Linear Ft,No,Yes,3,12,128,,20,80,75,80,78,35,0,7,14,65,No,Laceflower filler,3-10,Floral,Aphids,None,Fresh,60-70F,50-60F,65,Full sun,Med,6,7,,78,Transplant,Yes,12,0.5,,,,
Phlox,Floral,Polemoniaceae,Phlox drummondii,#DDA0DD,Cherry Caramel,Stems,1,2.5,4,Linear Ft,No,Yes,3,9,128,,20,70,60,70,67,42,0,7,14,65,No,Fragrant filler,3-10,Floral,None,Mildew,Fresh,60-70F,50-60F,65,Full sun,Med,6,7,,67,Transplant,Yes,12,0.5,,,,
Poppy,Floral,Papaveraceae,Papaver spp.,#FF1493,Amazing Grey,Stems,1,2.5,6,Linear Ft,No,Yes,3,6,128,,20,90,80,90,87,56,0,7,14,60,No,Smoky lavender shade,3-10,Floral,Aphids,None,Fresh,55-65F,45-55F,60,Full sun,Med,6,7,,87,Transplant,Yes,12,0.5,,,,
Poppy,Floral,Papaveraceae,Papaver spp.,#FFC0CB,Iceland,Stems,1,2.5,6,Linear Ft,No,Yes,3,6,128,,20,90,80,90,87,56,0,7,14,60,No,Early spring bloom,3-10,Floral,Aphids,None,Fresh,55-65F,45-55F,60,Full sun,Med,6,7,,87,Transplant,Yes,12,0.5,,,,
